Taxpayer_Number,Taxpayer_Name,Taxpayer_Address,Taxpayer_City,Taxpayer_State,Taxpayer_Zip_Code,Taxpayer_Organizational_Type,Taxpayer_Organizational_Name,Record_Type_Code,Record_Type_Name,SOS_Charter_Date,SOS_Status_Date,Responsibility_Beginning_Date,DateTime
32072734661,"ASLOAR PROPERTIES, LLC",1415 LOUISIANA ST FL 22,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/6/2019 0:00,12/6/2019 0:00,12/6/2019 0:00,3/25/2020 2:13
32073428065,RIO GRANDE LNG INSURANCE HOLDING LLC,1000 LOUISIANA ST STE 3900,HOUSTON,TX,77002,CI,Limited Liability Company - Foreign,V,SOS Certificate of Authority (COA) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32073427976,RIO GRANDE LNG COMMON FACILITIES LLC,1000 LOUISIANA ST STE 3900,HOUSTON,TX,77002,CI,Limited Liability Company - Foreign,V,SOS Certificate of Authority (COA) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32073427927,RIO GRANDE LNG GAS MARKETING LLC,1000 LOUISIANA ST STE 3900,HOUSTON,TX,77002,CI,Limited Liability Company - Foreign,V,SOS Certificate of Authority (COA) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32073427885,RIO GRANDE LNG OPERATIONS LLC,1000 LOUISIANA ST STE 3900,HOUSTON,TX,77002,CI,Limited Liability Company - Foreign,V,SOS Certificate of Authority (COA) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32073438668,"PROJECTQ VENTURES, LLC",440 LOUISIANA ST STE 2300,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/14/2020 0:00,2/14/2020 0:00,2/14/2020 0:00,3/25/2020 2:13
32073427836,RIO GRANDE LNG TRAIN 3 LLC,1000 LOUISIANA ST STE 3900,HOUSTON,TX,77002,CI,Limited Liability Company - Foreign,V,SOS Certificate of Authority (COA) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32073426101,"MAGGIE P HOLDINGS, LLC",1200 ROTHWELL ST,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32073426028,"20202TX-01, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32073425285,"STEPHEN M. JACOBSON, P.C.",609 MAIN STREET,HOUSTON,TX,77002,CP,Professional,U,Secretary of State (SOS) File Number,3/1/2020 0:00,3/1/2020 0:00,3/1/2020 0:00,3/25/2020 2:13
32073425210,FALLON CONSULTING SERVICES COMPANY,705 MAIN ST UNIT 203,HOUSTON,TX,77002,CT,Texas Profit,U,Secretary of State (SOS) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32073424460,"RINGGOLD LANE 4444, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32073424452,"TRAVIS STREET 1509, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32072730263,"1005 MAPLELEAF LN, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/4/2019 0:00,12/4/2019 0:00,12/4/2019 0:00,3/25/2020 2:13
32072495990,"LAZARUS SAN ANTONIO REFINERY, LLC",801 TRAVIS ST STE 2100,HOUSTON,TX,77002,CI,Limited Liability Company - Foreign,V,SOS Certificate of Authority (COA) File Number,11/8/2019 0:00,11/8/2019 0:00,11/8/2019 0:00,3/25/2020 2:13
32073422266,"WGSS VENTURES, LLC",1414 TEXAS ST UNIT 231,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/10/2020 0:00,2/10/2020 0:00,2/10/2020 0:00,3/25/2020 2:13
32073417001,"RADIANTONE, INC.",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CT,Texas Profit,U,Secretary of State (SOS) File Number,2/11/2020 0:00,2/11/2020 0:00,2/11/2020 0:00,3/25/2020 2:13
32072729554,"415 CLEAR CREEK LN, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/4/2019 0:00,12/4/2019 0:00,12/4/2019 0:00,3/25/2020 2:13
32072498713,"XCALIBER HOMES, INC.",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CT,Texas Profit,U,Secretary of State (SOS) File Number,11/8/2019 0:00,11/8/2019 0:00,11/8/2019 0:00,3/25/2020 2:13
32073415559,"INDUSTRIAL CRAFTSMAN SOLUTIONS, LLC",440 LOUISIANA ST STE 900,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/11/2020 0:00,2/11/2020 0:00,2/11/2020 0:00,3/25/2020 2:13
32073415278,"INNERLOOP ELECTRIC, LLC",1414 TEXAS ST UNIT 827,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/12/2020 0:00,2/12/2020 0:00,2/12/2020 0:00,3/25/2020 2:13
32072492336,WINKLER-HARRISON LLC,600 TRAVIS ST STE 6150,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/8/2019 0:00,11/8/2019 0:00,11/8/2019 0:00,3/25/2020 2:13
32073410055,"EDKI RENTALS, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/12/2020 0:00,2/12/2020 0:00,2/12/2020 0:00,3/25/2020 2:13
32072484242,"BURTON & LACEY, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/6/2019 0:00,11/6/2019 0:00,11/6/2019 0:00,3/25/2020 2:13
32072484085,"WHITE PATCH, LLC",1001 LOUISIANA ST STE 3200,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/6/2019 0:00,11/6/2019 0:00,11/6/2019 0:00,3/25/2020 2:13
32073457205,"DSJR, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/18/2020 0:00,2/18/2020 0:00,2/18/2020 0:00,3/25/2020 2:13
32072476420,"HTX SPORTS TECH, LLC",440 LOUISIANA ST STE 1575,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/7/2019 0:00,11/7/2019 0:00,11/7/2019 0:00,3/25/2020 2:13
32073456660,CONTI FARM AND RANCH LLC,919 MILAM ST STE 1900,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/18/2020 0:00,2/18/2020 0:00,2/18/2020 0:00,3/25/2020 2:13
32073456645,CONTI GRIMES HOLDINGS LLC,919 MILAM ST STE 1900,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/18/2020 0:00,2/18/2020 0:00,2/18/2020 0:00,3/25/2020 2:13
32072477790,"CINCO CIUDADES, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/7/2019 0:00,11/7/2019 0:00,11/7/2019 0:00,3/25/2020 2:13
32072477840,"QUATTRO TRATO, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/7/2019 0:00,11/7/2019 0:00,11/7/2019 0:00,3/25/2020 2:13
32072478202,SOCCER FOR LIFE INC.,440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CN,Texas Non-Profit,U,Secretary of State (SOS) File Number,11/7/2019 0:00,11/7/2019 0:00,11/7/2019 0:00,3/25/2020 2:13
32072926325,"VICTORY ONE GROUP INVESTMENTS, INC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CT,Texas Profit,U,Secretary of State (SOS) File Number,12/30/2019 0:00,12/30/2019 0:00,12/30/2019 0:00,3/25/2020 2:13
32073449384,"DALLAS KOREAN HOLDINGS ESQ, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32072740098,WISERENO LLC,1201 LOUISIANA ST FL 28,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/6/2019 0:00,12/6/2019 0:00,12/6/2019 0:00,3/25/2020 2:13
32073449020,"KCER PROPERTY MANAGEMENT, LLC",440 LOUISIANA ST STE 900,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32073449004,"KCER PROPERTIES, LLC",440 LOUISIANA ST STE 900,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32072739959,"ENDTECH HOLDINGS, INC.",1001 MCKINNEY ST STE 1400,HOUSTON,TX,77002,CT,Texas Profit,U,Secretary of State (SOS) File Number,12/6/2019 0:00,12/6/2019 0:00,12/6/2019 0:00,3/25/2020 2:13
32072739900,"ENDEAVOR TECHNOLOGIES USA, LP",1001 MCKINNEY ST STE 1400,HOUSTON,TX,77002,PL,Unknown,U,Secretary of State (SOS) File Number,12/6/2019 0:00,12/6/2019 0:00,12/6/2019 0:00,3/25/2020 2:13
32072930251,"HEARTHSTONE VENTURES, INC.",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CT,Texas Profit,U,Secretary of State (SOS) File Number,12/30/2019 0:00,12/30/2019 0:00,12/30/2019 0:00,3/25/2020 2:13
32073448816,"MTY PROPERTIES, LLC",440 LOUISIANA ST STE 900,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/13/2020 0:00,2/13/2020 0:00,2/13/2020 0:00,3/25/2020 2:13
32072927265,H912RE LLC,401 LOUISIANA ST FL 8,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/30/2019 0:00,12/30/2019 0:00,12/30/2019 0:00,3/25/2020 2:13
32072480257,WELLN LLC,409 TRAVIS ST APT 1211,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/7/2019 0:00,11/7/2019 0:00,11/7/2019 0:00,3/25/2020 2:13
32072481883,RAYBURN INVESTMENTS CORP,440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CT,Texas Profit,U,Secretary of State (SOS) File Number,11/6/2019 0:00,11/6/2019 0:00,11/6/2019 0:00,3/25/2020 2:13
32073444393,UNBRANDED REALTY LLC,500 CRAWFORD ST APT 108,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/14/2020 0:00,2/14/2020 0:00,2/14/2020 0:00,3/25/2020 2:13
32073443213,"CSL CM IV, LP",1000 LOUISIANA ST STE 7000,HOUSTON,TX,77002,PL,Unknown,U,Secretary of State (SOS) File Number,2/14/2020 0:00,2/14/2020 0:00,2/14/2020 0:00,3/25/2020 2:13
32072482519,"LUCY & ETHEL, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/6/2019 0:00,11/6/2019 0:00,11/6/2019 0:00,3/25/2020 2:13
32072928263,"THE GREAT BAGBY, LLC",201 MAIN ST UNIT 7K,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/30/2019 0:00,12/30/2019 0:00,12/30/2019 0:00,3/25/2020 2:13
32072482675,"SHE SAID. SHE LED. SHE IS., LLC",1301 TEXAS ST STE 220,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/7/2019 0:00,11/7/2019 0:00,11/7/2019 0:00,3/25/2020 2:13
32073441936,"WV STUDIO, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/14/2020 0:00,2/14/2020 0:00,2/14/2020 0:00,3/25/2020 2:13
32072738258,KARPEL INVESTMENTS LIMITED,1200 SMITH ST STE 1400,HOUSTON,TX,77002,CM,Foreign Non-Profit,V,SOS Certificate of Authority (COA) File Number,12/7/2019 0:00,12/7/2019 0:00,12/7/2019 0:00,3/25/2020 2:13
32072482931,"CFR COMM, LTD.",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CT,Texas Profit,U,Secretary of State (SOS) File Number,11/6/2019 0:00,11/6/2019 0:00,11/6/2019 0:00,3/25/2020 2:13
32072929154,"SKIPPER ENERGY, INC.",2204 LOUISIANA ST STE 227,HOUSTON,TX,77002,CT,Texas Profit,U,Secretary of State (SOS) File Number,12/30/2019 0:00,12/30/2019 0:00,12/30/2019 0:00,3/25/2020 2:13
32072929329,"201810WY-33, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CI,Limited Liability Company - Foreign,V,SOS Certificate of Authority (COA) File Number,12/30/2019 0:00,12/30/2019 0:00,12/30/2019 0:00,3/25/2020 2:13
32072483491,"PARADOX SAN JUAN, LLC",500 DALLAS ST STE 1650,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/6/2019 0:00,11/6/2019 0:00,11/6/2019 0:00,3/25/2020 2:13
32073448667,"ASTRO OUTDOOR DESIGNS, LLC",2302 FANNIN ST STE 500,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/14/2020 0:00,2/14/2020 0:00,2/14/2020 0:00,3/25/2020 2:13
32072943858,"NBS CONSULTING, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/31/2019 0:00,12/31/2019 0:00,12/31/2019 0:00,3/25/2020 2:13
32072944435,"LAW OFFICE OF JOSEPH K PLUMBAR, PLLC",1200 ROTHWELL ST,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/31/2019 0:00,12/31/2019 0:00,12/31/2019 0:00,3/25/2020 2:13
32072726311,MDA DIVERSIFIED ENTERPRISES CORPORATION,2000 CRAWFORD ST STE 835,HOUSTON,TX,77002,CT,Texas Profit,U,Secretary of State (SOS) File Number,12/5/2019 0:00,12/5/2019 0:00,12/5/2019 0:00,3/25/2020 2:13
32072718763,"KBRN 2215 CANAL, LLC",1000 LOUISIANA ST STE 7000,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/5/2019 0:00,12/5/2019 0:00,12/5/2019 0:00,3/25/2020 2:13
32073379680,"AMICUS CONSULTING GROUP, LLC",1305 PRAIRIE ST STE 200,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/10/2020 0:00,2/10/2020 0:00,2/10/2020 0:00,3/25/2020 2:13
32072718094,LRACSO'S LLC,1625 MAIN ST APT 608,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/7/2019 0:00,12/7/2019 0:00,12/7/2019 0:00,3/25/2020 2:13
32073377866,"DIAMOND T SPECIALTY SERVICES, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/10/2020 0:00,2/10/2020 0:00,2/10/2020 0:00,3/25/2020 2:13
32073371323,"CRECHAN MANAGEMENT GROUP, LLC",440 LOUISIANA ST STE 900,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/7/2020 0:00,2/7/2020 0:00,2/7/2020 0:00,3/25/2020 2:13
32072969176,"JANISSARY GLOBAL, LLC",306 MAIN ST STE 303,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/30/2019 0:00,12/30/2019 0:00,12/30/2019 0:00,3/25/2020 2:13
32072969192,"JANISSARY GROUP, LLC",306 MAIN ST STE 303,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/30/2019 0:00,12/30/2019 0:00,12/30/2019 0:00,3/25/2020 2:13
32072717385,DSOUZA MANAGEMENT LLC,440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/6/2019 0:00,12/6/2019 0:00,12/6/2019 0:00,3/25/2020 2:13
32072717088,"MITCHELL LAND COMPANY, LLC",1001 MCKINNEY ST STE 1400,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/6/2019 0:00,12/6/2019 0:00,12/6/2019 0:00,3/25/2020 2:13
32072524484,THE DIRTY SHOVEL LLC,440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/13/2019 0:00,11/13/2019 0:00,11/13/2019 0:00,3/25/2020 2:13
32072970216,"EMINENT COLLEAGUES, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/30/2019 0:00,12/30/2019 0:00,12/30/2019 0:00,3/25/2020 2:13
32073367602,"TEXAS INVESTORS ASSOCIATION, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/7/2020 0:00,2/7/2020 0:00,2/7/2020 0:00,3/25/2020 2:13
32072525911,STERRETT STREET TOWNHOMES ASSOCIATION,1209 STERRETT ST,HOUSTON,TX,77002,CN,Texas Non-Profit,U,Secretary of State (SOS) File Number,11/4/2019 0:00,11/4/2019 0:00,11/4/2019 0:00,3/25/2020 2:13
32073366844,FAN CLUB AESTHETICS LLC,777 PRESTON ST APT 39F,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/7/2020 0:00,2/7/2020 0:00,2/7/2020 0:00,3/25/2020 2:13
32072961504,"ARB VC FUND I, LLC",100 JACKSON ST STE 305,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,1/2/2020 0:00,1/2/2020 0:00,1/2/2020 0:00,3/25/2020 2:13
32073365689,"MANTLE UNITED INVESTORS, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/7/2020 0:00,2/7/2020 0:00,2/7/2020 0:00,3/25/2020 2:13
32072972022,"D&J FLP, LP",1021 MAIN ST STE 1150,HOUSTON,TX,77002,PL,Unknown,U,Secretary of State (SOS) File Number,1/3/2020 0:00,1/3/2020 0:00,1/3/2020 0:00,3/25/2020 2:13
32072972048,"D&J ENTERPRISES GP, LLC",1021 MAIN ST STE 1150,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,1/3/2020 0:00,1/3/2020 0:00,1/3/2020 0:00,3/25/2020 2:13
32072710729,EIK EQUIPMENT SOLUTIONS LLC,1001 MCKINNEY ST STE 1400,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/4/2019 0:00,12/4/2019 0:00,12/4/2019 0:00,3/25/2020 2:13
32073361613,"HI-RISE DAY SPA, A TEXAS LIMITED LIABILITY COMPANY",1111 RUSK ST APT 301,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/7/2020 0:00,2/7/2020 0:00,2/7/2020 0:00,3/25/2020 2:13
32073356092,"KINGSBURY 20-3224, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/6/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,3/25/2020 2:13
32073355961,"372COPPERPATHNBTX, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/6/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,3/25/2020 2:13
32073355748,ECWM HOLDINGS LLC,1201 LOUISIANA ST FL 28,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/6/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,3/25/2020 2:13
32073355086,"RH VAN 110, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/6/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,3/25/2020 2:13
32073354907,"EYE THEORY 2020, LLC",3510 MAIN ST STE F,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/6/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,3/25/2020 2:13
32073354832,"ANCHOR SH 110, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/6/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,3/25/2020 2:13
32073352760,"BLUE TIGER INVESTMENTS, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/6/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,3/25/2020 2:13
32073352281,"SNC TX PROPERTIES, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,2/6/2020 0:00,2/6/2020 0:00,2/6/2020 0:00,3/25/2020 2:13
32072974911,"JACOB MEDINA INTERIOR DESIGN, LLC",2315 COMMERCE ST STE 10,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,1/3/2020 0:00,1/3/2020 0:00,1/3/2020 0:00,3/25/2020 2:13
32072303996,"222 HOLYHEAD, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,10/21/2019 0:00,10/21/2019 0:00,10/21/2019 0:00,3/25/2020 2:13
32072715439,BLANCBRANDS LLC,708 MAIN ST FL 10,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/5/2019 0:00,12/5/2019 0:00,12/5/2019 0:00,3/25/2020 2:13
32072517363,"VAQUERO VETERINARY SERVICES, PLLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/11/2019 0:00,11/11/2019 0:00,11/11/2019 0:00,3/25/2020 2:13
32072517348,"ALL STATES CAPITAL GROUP, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,11/11/2019 0:00,11/11/2019 0:00,11/11/2019 0:00,3/25/2020 2:13
32072960365,WHITEHALL CAPITAL MANAGEMENT LLC,700 MILAM ST STE 1300,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,1/2/2020 0:00,1/2/2020 0:00,1/2/2020 0:00,3/25/2020 2:13
32072726246,"CAPSTONE BROOKLYN TOO, LLC",1305 PRAIRIE ST STE 200,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/5/2019 0:00,12/5/2019 0:00,12/5/2019 0:00,3/25/2020 2:13
32072724951,"309 EAST RICE, LLC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CL,Limited Liability Company - Texas,U,Secretary of State (SOS) File Number,12/5/2019 0:00,12/5/2019 0:00,12/5/2019 0:00,3/25/2020 2:13
32072724720,"SOLLIBRA, INC",440 LOUISIANA ST STE 952,HOUSTON,TX,77002,CN,Texas Non-Profit,U,Secretary of State (SOS) File Number,12/5/2019 0:00,12/5/2019 0:00,12/5/2019 0:00,3/25/2020 2:13
